title,link,create_time,title_en
物联网智能化除尘防爆系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494749&idx=2&sn=3a630600cb1199caa44f5c27185348f6&chksm=cfb78b18f8c0020ecaadbd81b41e2b81a592c6aa2af530e3d238c3c76a2a3ec74f86803e0395#rd,2024/5/10 16:20,Internet of Things Intelligent Dust Removal and Explosion-proof System
普惠型工业互联网大脑,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494739&idx=2&sn=c74a409c8f17b59a30f7da6ed4bcbe7e&chksm=cfb78b16f8c0020054fc88a30e2f2ec81458731f215bc44d7939f3601c55b8caaa54d42fcefb#rd,2024/5/9 17:20,Inclusive Industrial Internet Brain
直播系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494715&idx=1&sn=c958b0abb18f3066104378bbca2b35cc&chksm=cfb78b7ef8c002683179b5595d85c3e7529a730f969da424b24d21d5635189109ee9c74c8560#rd,2024/5/8 16:07,Live broadcast system
负离子教室护眼灯,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494714&idx=2&sn=0378452bb1b426e70120aab614d18e7d&chksm=cfb78b7ff8c00269172c5d81f51d65d812d72c5f92a40e21f8625b26def74f7f0502e4a3dda3#rd,2024/5/7 16:09,Negative ion classroom eye protection lamp
监控与运维系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494685&idx=2&sn=48f463cd0ddd57bf59b5496762d6fc9d&chksm=cfb78b58f8c0024e15d80f4a42ac9ae5ef094726e45986023e4d9fa1f5f0467c956c4935a462#rd,2024/4/30 19:14,Monitoring and operation and maintenance system
人工智能NLP引擎,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494672&idx=1&sn=fb222636c435b060e1ff9de23f470716&chksm=cfb78b55f8c002439a29a983d7870074fe93ae4388cace79c6e430d1a76d55835b8bf3265ff9#rd,2024/4/29 14:59,Artificial Intelligence NLP Engine
客服问答机器人,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494624&idx=2&sn=c1f05db2f7261675b3f1805f6ca11163&chksm=cfb78ca5f8c005b3dd63a2e0cda12f510707aafe56b248bf012bd66ef73ba92ab8b90c7e0aaf#rd,2024/4/28 14:24,Customer service question and answer robot
分散式(泛在计算)新型信息系统架构及关键技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494597&idx=1&sn=e2d1c7994834ac9b4af598233f466b42&chksm=cfb78c80f8c005963a375be640f3097586d1f5e9b1b3c955c3d7ee993ab49299862a6988dff8#rd,2024/4/26 15:38,Distributed (ubiquitous computing) new information system architecture and key technologies
面向智能无人装备的国产高级综合电子与软件,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494591&idx=2&sn=51f725bf65bac9a7242d7bf6f406540e&chksm=cfb78cfaf8c005ecf62c8ad442aa9f883cb6f64e88d73909e6d0f7b2e3ed2db78472b8aaef9f#rd,2024/4/25 15:44,Domestic advanced integrated electronics and software for intelligent unmanned equipment
轻量级多域安全私有云,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494581&idx=1&sn=6dbccf1e29e1f255c8d780582a976c5d&chksm=cfb78cf0f8c005e6cc0364c9f835b1a497864e5fc9548f224fc91e4523ad43dec4834e3db241#rd,2024/4/24 16:05,Lightweight multi-domain secure private cloud
自主可控输入输出设备关键技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494579&idx=2&sn=f23035b46832f1629d38247aa263f089&chksm=cfb78cf6f8c005e0562fbd9989fd19f21a2371c48e9b7e607d5baa8d6a676d1cab5f53875e1a#rd,2024/4/23 15:58,Key technologies for independent controllable input and output equipment
超声波深井侧壁检测设备,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494566&idx=1&sn=79634d149f71d4de4bf4126211786044&chksm=cfb78ce3f8c005f59712b6f715b87c10cd6581648c4fda441ad93904a1a86d13a664f6d8cdcd#rd,2024/4/19 14:37,Ultrasonic deep well sidewall inspection equipment
下颌康复远程智能监测系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494565&idx=1&sn=8ead959038fc75b22fdd661659249bb1&chksm=cfb78ce0f8c005f61ba4b2855dd5038052b793476c939534b87080bb9cab9a140ede294c9bf8#rd,2024/4/18 16:17,Mandibular rehabilitation remote intelligent monitoring system
智慧教育中混合式学习环境下学习过程数据化关键技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494564&idx=1&sn=12ddc0c0c579270327c5d2db0f11b06a&chksm=cfb78ce1f8c005f7cbbecaf11b3fe150c659ad206bcd0ce7be3bc0aafc06d32ceefb8653b98f#rd,2024/4/17 15:18,Key technologies for digitizing the learning process in a blended learning environment in smart education
三维交互式电子手册制作与发布平台项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494547&idx=1&sn=b8a8c36260276e5c6be2860f5e2efeb4&chksm=cfb78cd6f8c005c0cc860aeed8a6588fe06f506473276b84db272394c18a203eb350524eba4e#rd,2024/4/16 15:36,Three-dimensional interactive electronic manual production and publishing platform project
基于智能基因计算的癌症精准诊疗,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494543&idx=1&sn=6a6f9480c9be48e6cdc3980125a623ea&chksm=cfb78ccaf8c005dc144013fc854c64c7b498e0fcb382029c00334cd61acb3d08fcefaddb6714#rd,2024/4/15 14:02,Precision diagnosis and treatment of cancer based on intelligent genetic computing
室内移动目标轨迹定位探测雷达传感器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494477&idx=1&sn=d502ab5625304f46abb956740c28c997&chksm=cfb78c08f8c0051ec9792485fb47ca0a68bbf5be9645c2b09a5b6622d7cdce6c8b30cca018ff#rd,2024/4/11 14:51,Indoor moving target trajectory positioning detection radar sensor
大型仪器设备管理系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494475&idx=1&sn=d21ac3d3e38c24c039e25fd31a86103a&chksm=cfb78c0ef8c0051827fa48b1b08d4c42818407da7e779924f281b7762257f8b7d190d30ccd77#rd,2024/4/10 17:14,Large instrument and equipment management system
智慧哨兵系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494471&idx=1&sn=3d15c7b3b3f04f5129dea04a19aebe60&chksm=cfb78c02f8c005146b908c4bdafe4453a18b2f37ad856779bde725f7502f476ac7de6c8746fc#rd,2024/4/9 15:25,Smart Sentinel System
工业视觉智能平台,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494467&idx=1&sn=cc438368431ef983ed6deee78853bac8&chksm=cfb78c06f8c005105c4d69cb44a7fb4e08f901669819293cbb4f4f0383f3fb06e1b623b453e3#rd,2024/4/8 15:34,Industrial Vision Intelligence Platform
远程无线输电系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494463&idx=2&sn=f1ab1cf345ea1773faaac47c1e99a0e3&chksm=cfb78c7af8c0056c95fa50af7344f611141af4c0f822fd0a1723f4ca28d613ce7bff25943190#rd,2024/4/7 17:16,Remote wireless power transmission system
应用于 5G/6G 的高性能无线通信器件及自检测设备的 研发及产业化,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494446&idx=1&sn=52d0157e1beb605dbb10fa5f7c351f0d&chksm=cfb78c6bf8c0057dca714f4c3b00d46747a4af11c940238cb4807c8a1b98dd94c41db95c168c#rd,2024/4/3 15:30,R&D and industrialization of high-performance wireless communication devices and self-test equipment applied to 5G/6G
基于 PIT 的终端管理工作站,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494437&idx=1&sn=4263004b9c25b0f81a01263a2dbb01b2&chksm=cfb78c60f8c0057601a9a5ef7c278569c9b742d7d093e6497f6e92cc97b849b1c5343abe7dcb#rd,2024/4/2 15:06,PIT-based terminal management workstation
高速 LDPC 编译码器的设计与硬件实现技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494408&idx=1&sn=c4fc0149951dcd3d946b45e8c36adeb9&chksm=cfb78c4df8c0055b7a025c254782069936ca819a67f03c755d067a991be53c16931e93eab83c#rd,2024/3/29 16:50,Design and hardware implementation technology of high-speed LDPC codec
高速 RS 编译码器的设计与硬件实现技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494394&idx=2&sn=1ba0090e87fa871fa5f445f9cdaf9dc8&chksm=cfb78dbff8c004a9d8cfd9a2fb379d682bb9bbf8205c295734f6e01d090db70a074a818c1499#rd,2024/3/28 15:40,Design and hardware implementation technology of high-speed RS codec
面向异构数据中心的分布式机器学习高效运行方法研究,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494372&idx=1&sn=12d155dddb143ff114e3d673b59bc9d3&chksm=cfb78da1f8c004b7d1c1e0aa96173c84343e3d608658b616c8cbf69617f32111e80a55ba6f10#rd,2024/3/27 16:18,Research on efficient operation methods of distributed machine learning for heterogeneous data centers
基于路由交换的异构计算系统算力扩展,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494368&idx=1&sn=50f6e231214890672075f3d65f4cccd7&chksm=cfb78da5f8c004b361c239cc33d69e39c4b792a5921937bb0107f77dbdabb324c670e5b277e9#rd,2024/3/26 16:01,Computing power expansion of heterogeneous computing systems based on routing and switching
面向数据密集型应用的扁平化、低时延、可重构光电混合互连系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494364&idx=1&sn=fd10f5b749a3f62ed76f6c79a0c37d5f&chksm=cfb78d99f8c0048fc0ac379a435d0a137c80a9ab6563cc976565b33d51fd54efa1e06256cd76#rd,2024/3/25 16:36,"Flat, low-latency, reconfigurable optical-electrical hybrid interconnection system for data-intensive applications"
智能化可演进网络关键技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494350&idx=2&sn=497a8499b2e1f2dfc47cf495da0f4e29&chksm=cfb78d8bf8c0049d6eb7bf25965795a119c8efd91b4355cdf674a8d43c9ba70d49b6632be8a5#rd,2024/3/21 15:23,Key technologies for intelligent and evolvable networks
蜂群自组网跳频系统物理层设计与实现,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494305&idx=1&sn=aad2569b78d30493212cf22e3656085b&chksm=cfb78de4f8c004f2029b2972451eeb382883e9e99f66a89b42b22c7aa8df32dd99a2756e0f4d#rd,2024/3/15 17:31,Physical layer design and implementation of bee swarm ad hoc network frequency hopping system
星间组网通信终端物理层软件,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494301&idx=1&sn=8b5ab63ae922ab1670eada2b543b0074&chksm=cfb78dd8f8c004ce9e3f16daec374d6bd4c15dd6f62ba876e837423db74790a2a6fe2fc0b199#rd,2024/3/14 18:24,Inter-satellite networking communication terminal physical layer software
宽带矢量信号发生器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494294&idx=2&sn=c51cbfa63bba515fbf8117d1e1556bc6&chksm=cfb78dd3f8c004c508b91c394643f8672594bc7b2e1e1d222f433eba8ab8e6cb8db7b54926a5#rd,2024/3/13 16:54,Broadband vector signal generator
基于北斗通信的高精密阀门远程控制器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494273&idx=1&sn=1d6f6360b9faf8f921a94e4cf93f01e4&chksm=cfb78dc4f8c004d2bf7be5e09700f1e8fb9eb649d6b3f968f90cf27aac0a553237890482d88a#rd,2024/3/12 17:37,High-precision valve remote controller based on Beidou communication
空天地一体化网络时间确定网络路由器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494269&idx=2&sn=4198dca6e7dc9088e14a648fad51828f&chksm=cfb78d38f8c0042e78fd19dcdef900a6dc23fe2aca594a3652cd4b9635bc7b21b72644469d0a#rd,2024/3/11 17:03,"Air, space and ground integrated network time determines network router"
“一触迹发”,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494259&idx=1&sn=732dbf72851f58745eeabca0c757c027&chksm=cfb78d36f8c00420b2de010cd936e3621a1202b2fc470da85a608edd4ad1459568c0f233c74d#rd,2024/3/8 11:02,"""At the touch of a button"""
云 - 边 - 端一体化异构资源协同优化技术与系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494255&idx=1&sn=8df6bfae10fed349b635ec8dde4bd2c7&chksm=cfb78d2af8c0043c0c2625b7e6bc7f3604ed2d390f936bc8ac455aef5508b1ed291fb256361c#rd,2024/3/7 13:56,Cloud-edge-end integrated heterogeneous resource collaborative optimization technology and system
卫星集群仿真应用开发平台,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494250&idx=1&sn=7990a651df68ba0957a9ebe1f4d76460&chksm=cfb78d2ff8c00439290af52276200a9e42a3d3275fb4d55a8e1ceb8cf493f14233af784028f3#rd,2024/3/6 14:13,Satellite cluster simulation application development platform
多波束 / 涡旋波束天线技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494232&idx=1&sn=48763880f21ce0660c5d62707725e682&chksm=cfb78d1df8c0040b4ed2e82f64fd2e6949f71d5a1b24ade1843d33c2f8a23708791d772a961e#rd,2024/3/4 15:22,Multi-beam/Vortex Beam Antenna Technology
跨域人脸图像重建,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494228&idx=1&sn=20e6556958ce68f4ab721997d3dead92&chksm=cfb78d11f8c00407c2e714d4f82fcb2fc820fc295204a42a752b6fc5fc46654889cf06013b23#rd,2024/3/1 15:21,Cross-domain face image reconstruction
智能灯光照明导引系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494224&idx=1&sn=5b0f6ce621835a045bc5e6bdc9a0a926&chksm=cfb78d15f8c00403ccb35aa6563dd9a973cab9ba1d386fab722e2f61a6b648d8de039e79bf0d#rd,2024/2/29 16:30,Intelligent lighting guidance system
时间敏感网络原型与验证系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494220&idx=1&sn=0ae786a51bf188399dbbc1f130e2339e&chksm=cfb78d09f8c0041f9fe2c1c27d60233ea4edd0f443a926b5f77e42fab4d85a2e80653bb803df#rd,2024/2/28 17:05,Time-sensitive network prototyping and verification system
跨媒体医学影像智能解译系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494204&idx=1&sn=5b37878d88ba357390d07b697a50a784&chksm=cfb78d79f8c0046f04a7aeffec61ddb43153609987a4d6bb32c8d40c725b1cf821f4c9029bcd#rd,2024/2/26 15:26,Cross-media medical image intelligent interpretation system
ZL-MOVE 卷积神经网络处理器及其开发系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494200&idx=1&sn=e4f332a17bd23a4fcc56624e23e8a31c&chksm=cfb78d7df8c0046b307f72af47f20801ea9644caa44f4b7daba80fb7a3797a62f8a7faf8baf6#rd,2024/2/23 15:26,ZL-MOVE convolutional neural network processor and its development system
生物特征数据安全处理系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494194&idx=1&sn=37c4b1d8428bfdf95feddd8e32e2f636&chksm=cfb78d77f8c00461a8c0d59eb3f150dad153a54dcd0064a946fae68517f057db8baefe3963ff#rd,2024/2/22 17:11,Biometric data security processing system
“链固”区块链数据库系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494190&idx=1&sn=7e34618b393854606372a5da202c3c46&chksm=cfb78d6bf8c0047d1955d426fecbec88fe7a02cfe1686b479e222acfe0d610bd074fdbc39826#rd,2024/2/21 14:40,"""Liangu"" blockchain database system"
信任管控的安全和隐私保护,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494179&idx=1&sn=ab9f1e80645c37922dce7c20e1eea378&chksm=cfb78d66f8c00470d8cff78d72f2ba393afb6a546c20785d6ef29abd22a07a7347f6288e7ec1#rd,2024/2/6 15:31,Security and privacy protection of trust management
无人机集群数据安全共享系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494176&idx=1&sn=3c6e00da08baa4bd9c186b167c8a37a4&chksm=cfb78d65f8c00473000b5d7608da97ad8801706698a9a10c5b550364f5fb1a00bfbd31b66a12#rd,2024/2/3 14:12,UAV cluster data security sharing system
高性能环保型无铅压电陶瓷雾化芯片,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494174&idx=1&sn=1fc0de45a8a1beaec644be3ab9df2397&chksm=cfb78d5bf8c0044dd5e893cc45073a90a15cfbcb75f1226af8aae29e0423b55ed48f94cf511d#rd,2024/2/2 14:25,High performance environmentally friendly lead-free piezoelectric ceramic atomization chip
“极目”无人机多源影像情报处理软件,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494171&idx=1&sn=98bdbb47686f1c602aaa13c979d5fe46&chksm=cfb78d5ef8c00448b8700ad737fd6fdf9fdbedea3b7bf968c2d8dd8d7f9f8406595c76d51aff#rd,2024/2/1 16:22,"""JiMu"" UAV multi-source image intelligence processing software"
朗空人工智能机器眼,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494134&idx=1&sn=980be2678e7661339ebcfb24357fe648&chksm=cfb78eb3f8c007a5a5d1aa48aa33c571dde4cf61ed159dca6310b2005168ce3fe8039e46bd28#rd,2024/1/30 17:28,Langkong artificial intelligence machine eye
基于后量子加密的智能家庭安全监控系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494126&idx=2&sn=a547f0acdf20d7be0a244287f19c2b8c&chksm=cfb78eabf8c007bd384bac3a90fb8c00c798e02701c8bfab0ebf73b70c644c4d77403080f960#rd,2024/1/26 16:27,Smart home security monitoring system based on post-quantum encryption
新型气体传感器技术及装置,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494104&idx=1&sn=48ed21ecc8e4be6b98f051b219247530&chksm=cfb78e9df8c0078b020dcf5c4ac1adcd2ec62431918a29fb889eff1bc433cffc33d95ef11b3d#rd,2024/1/25 16:02,New gas sensor technology and devices
无线电能传输,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494096&idx=1&sn=7420e104eba8fbcb8a512f5aefd348ca&chksm=cfb78e95f8c0078352b91594f5bb384a474890e7ad371adb3a21f11fe8ec307aadbb99fac84c#rd,2024/1/23 14:01,wireless power transfer
基于毫米波雷达的隧道车辆智能检测系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494094&idx=2&sn=d9d7b672a04507479abec93ee0200743&chksm=cfb78e8bf8c0079db19bb79633e25176d2e5a43976edd19dfae34844382369083b9ffc6212c1#rd,2024/1/22 14:52,Tunnel vehicle intelligent detection system based on millimeter wave radar
工业金属管线的智慧阴极保护系列装备,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494079&idx=1&sn=d21a94d23e7ac5eeedbac9222206156b&chksm=cfb78efaf8c007ec534896d0307617f36165165168bf49406eb1dbbdf80d6dfc397e70de49cb#rd,2024/1/19 15:45,Smart cathodic protection series equipment for industrial metal pipelines
3000米超长距离毫米波雷达,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494076&idx=1&sn=42d161590bacf4627c13bbdbacbe42ad&chksm=cfb78ef9f8c007ef4282a42cda65445cee7852e1456defe339a5f350688b035ddffa88f253d6#rd,2024/1/18 15:35,3000m ultra-long range millimeter wave radar
1000米超长距交通毫米波雷达,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494071&idx=1&sn=d261a6f61742ec33e7186fba0c5f2e18&chksm=cfb78ef2f8c007e4df0bd5e1d0c2c3df5a691cc99ca4fefae2a2a0a46040e8b18c1bbd62a141#rd,2024/1/17 16:38,1000m ultra-long range traffic millimeter wave radar
4D成像毫米波交通路况监测雷达系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494067&idx=1&sn=5d1e0b3e9234ca0a78098180fd3fc119&chksm=cfb78ef6f8c007e0f7dfd43ac6b168d2c3445f926834723e7d6b64661d569f376ab72e2e49f4#rd,2024/1/16 14:52,4D imaging millimeter wave traffic monitoring radar system
虚拟现实智能手术辅助诊疗系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494034&idx=1&sn=ade1e9d6a0e9f27d52822f250a817d4f&chksm=cfb78ed7f8c007c1c3bbe812dd9fa9830dc0149764e02ddc98539814c781c7ed95dce204dd8b#rd,2024/1/11 15:20,Virtual reality intelligent surgical auxiliary diagnosis and treatment system
先进辐射致发光技术用于精准放疗定量化评估,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494031&idx=1&sn=b452dbfb95a3f5a1000a179d0b2cf475&chksm=cfb78ecaf8c007dc5a8c8a754435a43795f509d2cfe694d49668533ccd818d2be0b26cbd69d4#rd,2024/1/10 16:37,Advanced radioluminescence technology for precise quantitative assessment of radiotherapy
创新型CAR-巨噬肿瘤细胞免疫治疗,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494029&idx=1&sn=99b4cdb73eb1cc981bd5bbf4fd57c256&chksm=cfb78ec8f8c007de1b28de9583c87a56244b3d9d5bc54446f7d2302e4d6262df86e7d1878253#rd,2024/1/9 15:06,Innovative CAR-macrophage tumor cell immunotherapy
全天候网络化智能视频监控系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494027&idx=1&sn=ecb6c24cf35f9c75a0cff3e464525f32&chksm=cfb78ecef8c007d8ee1550f5c45a473856dae9a216b8b688092e1bd3a40af1b217d2ca6da4b3#rd,2024/1/8 15:17,All-weather networked intelligent video surveillance system
循环肿瘤细胞智能检测系统项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494025&idx=1&sn=627d22bd2e0f16143d3e1a82325ad5f6&chksm=cfb78eccf8c007daef93c20f309455eb1c87bf7374957301ecb5680d907af8f96816fe3ac09d#rd,2024/1/5 15:55,Circulating tumor cell intelligent detection system project
糖尿病视网膜病变的早期筛查系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247494018&idx=1&sn=5a632810c39bf04904fffc368db64f86&chksm=cfb78ec7f8c007d1ef64ecf4ee906bd853140129e7a3936353c8dff31fccdec7b3527865d1eb#rd,2024/1/4 14:03,Early screening system for diabetic retinopathy
可穿戴式多模态闭环神经调控设备,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493978&idx=3&sn=29958976d02370e3f653af518ef6cdac&chksm=cfb78e1ff8c00709b6f5999b45bb134704c1c5da6506a844317bf3987187514ef4161f1de295#rd,2023/12/29 17:45,Wearable multimodal closed-loop neuromodulation device
高性能锂电监控与管理系统芯片,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493961&idx=1&sn=3d38f70975faf877a9cedef5345cb4d8&chksm=cfb78e0cf8c0071aa8b5cb786d2a1d1612de4d2275a092a981a7c10af8fdb2597a4640f5e811#rd,2023/12/28 16:18,High performance lithium battery monitoring and management system chip
面向5G通信基站用氮化镓基射频器件项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493946&idx=2&sn=deb79638272bbc18dbfd9d35dd55d67e&chksm=cfb78e7ff8c00769f9aad717aa01a8c018b7cc670c06fcb897e228d2073752e64cca2979b5c3#rd,2023/12/27 16:28,Gallium nitride-based radio frequency device project for 5G communication base stations
中高压SiC大功率器件研制及产业化,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493936&idx=1&sn=33db95902bc02c6237aa7d2b574b42b7&chksm=cfb78e75f8c007635f4bd2e2b08c206bcc5665265275ababc040c152070906ec7eae616f94ae#rd,2023/12/26 14:32,Development and industrialization of medium and high voltage SiC high power devices
面向新型能源利用的高效稳定钙钛矿光伏和探测器件,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493930&idx=1&sn=e0f9ea5dc248c90b79aa4a2fe7588af4&chksm=cfb78e6ff8c00779362bb967029f2f5e0f27c3c7d037d8458b8a5397f7e24e84630734db169a#rd,2023/12/25 14:37,Efficient and stable perovskite photovoltaic and detection devices for new energy utilization
硅基氮化镓射频功率器件及关键技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493923&idx=2&sn=550cf6aa976a06d12ab19a39b977802f&chksm=cfb78e66f8c007708039a4773b7df2f88767a90ede09a71ad052e39fc1f8392ca4d54f7c6235#rd,2023/12/22 14:47,GaN-on-silicon RF power devices and key technologies
单光子固态激光雷达芯片与系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493910&idx=1&sn=a2da047f9fdb81e2a02eab047e7f8cb1&chksm=cfb78e53f8c00745b3c25e41031c85ca11d2367e56d483d1776cc20ed52f3f3c3e383145af3f#rd,2023/12/21 16:01,Single-photon solid-state lidar chips and systems
大尺寸GaN异质外延技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493906&idx=1&sn=3fcfe7fd78cac229966a2e1808a3850f&chksm=cfb78e57f8c0074163c84466b153a8b886f21f89671f1cc149bdb891910a7ec2cbc8551d2e5a#rd,2023/12/20 14:10,Large-size GaN heteroepitaxial technology
大型装备健康运行监测与数据分析平台,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493894&idx=1&sn=952dd1292384ba8b2b644459c49b2f3a&chksm=cfb78e43f8c00755cf51992a6965de3043cf466bd8ee30d11702556aa55f4ef7e40431daf039#rd,2023/12/18 15:44,Large equipment health operation monitoring and data analysis platform
领域知识语义检索与知识服务平台,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493890&idx=1&sn=097d55989db3ad2d8a9972e5a3d6cecd&chksm=cfb78e47f8c0075122929dfc6dbd97986218c78b7823b045ef33df6de86403f9bf60da0f43ec#rd,2023/12/15 14:53,Domain knowledge semantic retrieval and knowledge service platform
西安电子废弃物 Se 回收循环经济项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493886&idx=2&sn=aa29c6b51efed765b4ba0558cb403afe&chksm=cfb78fbbf8c006adc3365cbe41432363cba21f00e457fee07432a2e9da71bae2f56c3e704e5c#rd,2023/12/14 16:06,Xi’an Electronic Waste Se Recycling Economy Project
基于大数据云计算的公路建管系统项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247493878&idx=1&sn=c849b16b93ae867f561a5f25c5ecf487&chksm=cfb78fb3f8c006a5c2c29059a64fb5452edefc45b7b66d590fd733dbf3ff529d1e256342148a#rd,2023/12/13 16:30,Highway construction and management system project based on big data cloud computing
